Unnamed: 0,ID,Date,<HIGH>,<LOW>,<OPEN>,<CLOSE>,<VOL>,Adj Close,emv,emv_ema_14,acc_dist,acc_dist_ema21,obv,obv_ema21,pvt,pvt_ema21,atr,bol_bands_middle,bol_bands_upper,bol_bands_lower,google news,Wikki hits,Sector
37956,HDFC,2010-03-19 00:00:00,146,142.0200042725,142.4100036621,145.7400054932,3173105,136.842300415,314.8272048454,-57.7666922354,2758536.78129301,400264.160414501,6388190570,6373902873.7783,287649260.058189,287151561.708591,5.7242585191,148.6484243836,172.0288265531,125.268022214,6,,Bank
37957,HDFC,2010-03-22 00:00:00,148.3600006104,142.8000030518,144.8000030518,145.3899993896,3420825,136.5136413574,255.1780482841,-36.9037095341,-233800.498929688,371443.03953522,6384769745,6374396822.47019,287641044.677485,287173810.93445,5.7133077884,148.4932612886,170.6589975625,126.3275250148,12,,Bank
37958,HDFC,2010-03-23 00:00:00,147.1999969482,144.0200042725,146.0500030518,145.2799987793,3137795,136.4103546143,3.04022087,-34.2407808405,-651245.585161513,324957.192958095,6381631950,6374725691.90336,287638670.653366,287194940.921674,5.5444201142,148.3402487882,168.8777346234,127.802762953,12,,Bank
37959,HDFC,2010-03-25 00:00:00,147.9600067139,144.75,145.3999938965,147.3399963379,4631175,138.344619751,51.6383815852,-28.5155033454,2842159.08264447,439375.460671112,6386263125,6375250120.68048,287704338.39341,287218095.352207,5.3887925542,148.2926177191,167.0145578073,129.570677631,11,,Bank
37960,HDFC,2010-03-26 00:00:00,149.7599945068,146.0200042725,147.1399993896,148.1999969482,4510640,139.152053833,127.2739605058,-18.1295390887,747749.218617403,453392.449668671,6390773765,6375955740.87682,287730666.296556,287241394.031496,5.2788723996,148.2882072062,165.0848273834,131.4915870291,11,,Bank
37961,HDFC,2010-03-29 00:00:00,157.3999938965,147.6999969482,149.6199951172,154.9400024414,3427565,145.4806213379,1318.7772455418,70.9975798867,1689052.98670439,509558.83771575,6394201330,6376785085.83697,287886548.937608,287270719.254501,5.5736140361,148.6049593603,163.2581597553,133.9517589653,17,,Bank
37962,HDFC,2010-03-30 00:00:00,159.9600067139,153.2299957275,155.9799957275,157.3200073242,5228770,147.7153320313,520.6374245298,100.9735695296,1126562.84561214,537604.474438313,6399430100,6377814404.66256,287966867.111965,287302362.338931,5.6507071662,149.0199616443,162.9931794979,135.0467437907,12,,Bank
37963,HDFC,2010-03-31 00:00:00,159.8000030518,157,157.8000030518,157.9199981689,2262800,148.2786865234,223.3518809844,109.1321236266,-775821.723042381,477903.283643736,6401692900,6378899790.81426,287975497.033274,287332959.370492,5.4606602252,149.4437729074,163.0170147312,135.8705310835,7,,Bank
37964,HDFC,2010-04-01 00:00:00,161.1999969482,147.1999969482,156.9199981689,150.2899932861,62604490,141.1145019531,-93.92307818,95.5951101728,-34969112.1663556,-1133324.69135623,6339088410,6377090182.59543,284950721.387855,287224675.825827,6.0299495435,149.4840691159,162.5766900246,136.3914482072,9,,Bank
37965,HDFC,2010-04-05 00:00:00,152.9400024414,149,152,150.1900024414,3068635,141.020614624,-414.7183047914,61.5742158418,-1214989.88373894,-1137036.74555545,6336019775,6375223345.88655,284948679.765528,287121221.459449,5.8906197367,149.5176849885,162.3193515545,136.7160184225,16,,Bank
37966,HDFC,2010-04-06 00:00:00,151.2299957275,147.8300018311,151.1999969482,148.2200012207,2779200,139.1708831787,-176.1657855391,45.7248824164,-2141618.67679134,-1182699.56061162,6333240575,6373315038.11898,284912225.75858,287020812.563955,5.724578014,149.4558905234,161.8608574791,137.0509235677,14,,Bank
37967,HDFC,2010-04-07 00:00:00,149.8600006104,147.6199951172,149.8600006104,148.4900054932,2025005,139.4244537354,-87.3877541234,36.8507066471,-451995.141960885,-1149485.72340023,6335265580,6371585517.29539,284915914.599473,286925135.383752,5.4922731793,149.4098959981,161.4824845262,137.3373074701,15,,Bank
37968,HDFC,2010-04-08 00:00:00,150.6799926758,147,147.2799987793,148.3000030518,2818780,139.2460021973,13.0550682336,35.2643307529,-827242.013334881,-1134838.28203362,6332446800,6369806484.69105,284912307.790517,286833643.220423,5.3714544791,149.3570439531,161.327461615,137.3866262911,14,,Bank
37969,HDFC,2010-04-09 00:00:00,150.1999969482,148.1499938965,149,148.5399932861,1723635,139.4713592529,39.8430726636,35.5695802136,-1067814.90509791,-1131791.76490018,6334170435,6368186664.25055,284915097.106492,286746436.57888,5.1500243839,149.3181367785,160.9318307152,137.7044428417,13,,Bank
37970,HDFC,2010-04-12 00:00:00,149.9799957275,147.0800018311,149,149.4799957275,1443360,140.3539428711,-129.5925013957,24.558774773,945648.607658876,-1037362.65705658,6335613795,6366706079.28462,284924231.090504,286663609.056682,5.0000223514,149.3258443475,160.481377297,138.1703113979,6,,Bank
37971,HDFC,2010-04-13 00:00:00,153,149.0500030518,150.7400054932,151.6499938965,2766355,142.3914642334,356.2541045836,46.6717967604,875418.78742752,-950418.045943675,6338380150,6365418537.04441,284964390.211833,286586371.836461,4.9300206579,149.4365181355,159.5785566298,139.2944796412,16,,Bank
37972,HDFC,2010-04-15 00:00:00,153.7799987793,149.3000030518,152.3200073242,149.7599945068,2582545,140.6168365479,89.338039233,49.5162129252,-2052210.28336075,-1000499.51128081,6335797605,6364072131.04239,284932204.20016,286511182.398447,4.9000189959,149.4519217722,158.705652038,140.1981915064,13,,Bank
37973,HDFC,2010-04-16 00:00:00,150.3000030518,148.3999938965,150.0200042725,149.8300018311,1299990,140.6825866699,-320.0812843747,24.8763797719,656838.481275949,-925165.966164598,6337097595,6362846015.76773,284932811.897975,286439438.28479,4.7000183398,149.4699255846,157.7780487106,141.1618024585,13,,Bank
37974,HDFC,2010-04-19 00:00:00,149.4700012207,146.6399993896,148,149.0500030518,1658230,139.9502105713,-221.0095818631,8.4839823295,1166036.98722683,-830111.286464987,6335439365,6361600258.91465,284924179.332,286370562.877845,4.5993506133,149.4499292735,157.4003339528,141.4995245942,12,,Bank
37975,HDFC,2010-04-20 00:00:00,151.7799987793,148,148,151.2200012207,1682830,141.9877319336,412.1803330888,35.3970723802,1184215.71647707,-738550.968149439,6337122195,6360487619.6458,284948679.418843,286305931.811526,4.5447271577,149.5342184138,156.965358749,142.1030780786,13,,Bank
37976,HDFC,2010-04-21 00:00:00,155.3999938965,148.5,151.6000061035,154.7799987793,3645470,145.330368042,389.9077644603,59.0311185188,2990346.63793294,-569055.622418421,6340767665,6359591258.07099,285034500.502001,286248139.479275,4.7017449402,149.7840174788,156.5437310522,143.0243039055,12,,Bank
37977,HDFC,2010-04-22 00:00:00,157.3000030518,154.1999969482,155.3999938965,156.5800018311,3305040,147.0204772949,356.4263262722,78.8574657024,1769796.03272265,-462744.183548372,6344072705,6358885869.29504,285072936.230991,286194721.149808,4.5949623511,150.1076357813,156.9247728363,143.2904987263,7,,Bank
37978,HDFC,2010-04-23 00:00:00,157.25,154.7100067139,157.1999969482,156.8699951172,2273000,147.2927856445,25.7020229828,75.3137695211,1592879.22696607,-369306.755797716,6346345705,6358315861.82708,285077145.930388,286143922.276198,4.4579644135,150.4296528926,157.4192055552,143.4401002299,13,,Bank
37979,HDFC,2010-04-26 00:00:00,157.8800048828,151.8600006104,157.8800048828,152.5899963379,1761705,143.2740783691,-379.3034825212,45.0059527183,-1334450.44502657,-413176.923489937,6344584000,6357691686.28949,285029080.044724,286093247.629313,4.5621004041,150.53252639,157.6774192514,143.3876335285,10,,Bank
37980,HDFC,2010-04-27 00:00:00,153,150.4499969482,153,151.1699981689,2151410,141.9407653809,-372.7681145187,17.1543482358,-936495.511827043,-436964.132050714,6342432590,6356998091.0036,285009059.084412,286043966.331817,4.4279605806,150.562882189,157.6038465332,143.5219178447,14,,Bank
37981,HDFC,2010-04-28 00:00:00,150.3999938965,148.3000030518,149.8000030518,148.9900054932,2261885,139.8938751221,-220.5009651784,1.3106606749,-775491.689191644,-452351.748284393,6340170705,6356233209.82162,284976440.887725,285995442.447995,4.3240962164,150.4879832987,157.5116299583,143.464336639,12,,Bank
37982,HDFC,2010-04-29 00:00:00,149.9900054932,147.3800048828,147.4600067139,148.2299957275,3114455,139.180267334,-55.7283018276,-2.4919368253,-1085905.10172523,-481149.627986249,6337056250,6355361529.82973,284960553.807201,285948402.055231,4.209823176,150.380460081,157.2205188098,143.5404013522,13,,Bank
37983,HDFC,2010-04-30 00:00:00,149.9799957275,146.8699951172,148.4400024414,147.8000030518,2816810,138.7765350342,-28.70731536,-4.2396287276,-1132144.31764769,-510740.295698133,6334239440,6354401434.83747,284952382.669752,285903128.446801,4.1365016716,150.2575811749,156.4909541321,144.0242082176,12,,Bank
37984,HDFC,2010-05-03 00:00:00,147.8500061035,145.0299987793,147.8500061035,145.7799987793,1635105,136.8798370361,-342.3446656222,-26.7799645206,-765370.556782027,-522314.398474674,6332604335,6353410657.57213,284930035.450417,285858896.946965,4.0487353818,150.0443629655,155.437769523,144.650956408,6,,Bank
37985,HDFC,2010-05-04 00:00:00,147,141.6199951172,147,142.3600006104,1028305,133.6686553955,-1114.4005591673,-99.2880041637,-745423.714490731,-532455.731020858,6331576030,6352418174.50067,284905911.419367,285815579.422983,4.1374866818,149.6784409486,155.5282399407,143.8286419565,12,,Bank
37986,HDFC,2010-05-05 00:00:00,142.4900054932,137,140.3999938965,139.1399993896,1229535,130.6452331543,-2038.3190876396,-228.5567430621,-270991.642319333,-520570.999716243,6330346495,6351414916.34155,284878100.909505,285772966.76328,4.2276546026,149.1766103982,156.0407035141,142.3125172823,12,,Bank
37987,HDFC,2010-05-06 00:00:00,140,135.6300048828,140,136.5200042725,869630,128.1851806641,-969.8483159261,-277.976181253,-515409.847132601,-520336.401871532,6329476865,6350417732.18966,284861725.845801,285731546.721576,4.2371439702,148.5739148684,156.9547699388,140.193059798,11,,Bank
37988,HDFC,2010-05-07 00:00:00,136.2200012207,129,136.2200012207,130.4600067139,2221815,122.4951705933,-1691.4153326887,-372.2054580154,-1323237.64029839,-556831.912709117,6327255050,6349364882.99922,284763101.519297,285687526.485109,4.4560013237,147.7113478134,157.9457866063,137.4769090205,13,,Bank
37989,HDFC,2010-05-10 00:00:00,139.9400024414,131.0099945068,131.0099945068,138.5099945068,2034620,130.0536804199,1257.4561174071,-263.5613529872,1382991.74498537,-468658.11008664,6329289670,6348452373.31744,284888647.014625,285651213.781905,4.790934284,147.2731881322,160.1617931358,134.3845831286,13,,Bank
37990,HDFC,2010-05-11 00:00:00,143.3800048828,137.6199951172,138.6199951172,140.4600067139,2057890,131.8846435547,1406.4919826299,-152.2244639461,-28576.9597443954,-448654.42143472,6331347560,6347674881.80301,284917619.007838,285617868.564902,4.8555393161,146.9487509218,160.4492525905,133.448249253,12,,Bank
37991,HDFC,2010-05-12 00:00:00,145.6000061035,138.6600036621,141,144.6699981689,2107705,135.8376159668,536.7087835453,-106.29558078,1542811.14289169,-358133.259419883,6333455265,6347028535.58469,284980793.004817,285588910.584898,4.9945035244,146.8402388859,160.608696045,133.0717817268,6,,Bank
37992,HDFC,2010-05-13 00:00:00,151.9799957275,145.3000030518,145.3800048828,148.8399963379,4105230,139.7530212402,1059.3003467538,-28.5891856111,245818.674265612,-330680.898797815,6337560495,6346598170.10357,285099123.009654,285566647.513296,5.1488697934,146.9354654312,160.5736262677,133.2973045948,13,,Bank
37993,HDFC,2010-05-14 00:00:00,150.3300018311,141.4600067139,148.0200042725,142.4100036621,3020415,133.7155761719,-806.1174800866,-80.4244052428,-2373428.16528012,-423533.047274284,6334540080,6346050075.09886,284968638.954254,285539465.306067,5.396944815,146.7199672518,160.31762055,133.1223139535,17,,Bank
