date,TECHM,overlap
2011-08-03,48.0,
2011-08-04,32.0,
2011-08-05,0.0,
2011-08-06,0.0,
2011-08-07,0.0,
2011-08-08,0.0,
2011-08-09,31.0,
2011-08-10,0.0,
2011-08-11,63.0,
2011-08-12,33.0,
2011-08-13,40.0,
2011-08-14,0.0,
2011-08-15,0.0,
2011-08-16,0.0,
2011-08-17,0.0,
2011-08-18,0.0,
2011-08-19,33.0,
2011-08-20,0.0,
2011-08-21,0.0,
2011-08-22,62.0,
2011-08-23,60.0,
2011-08-24,0.0,
2011-08-25,30.0,
2011-08-26,0.0,
2011-08-27,0.0,
2011-08-28,0.0,
2011-08-29,31.0,
2011-08-30,31.0,
2011-08-31,29.0,1.0
2011-09-01,29.0,1.0
2011-09-02,0.0,1.0
2011-09-03,0.0,1.0
2011-09-04,0.0,1.0
2011-09-05,0.0,1.0
2011-09-06,0.0,1.0
2011-09-07,28.0,1.0
2011-09-08,28.0,1.0
2011-09-09,29.0,1.0
2011-09-10,34.0,1.0
2011-09-11,18.0,1.0
2011-09-12,0.0,1.0
2011-09-13,0.0,1.0
2011-09-14,0.0,1.0
2011-09-15,28.0,1.0
2011-09-16,29.0,1.0
2011-09-17,34.0,1.0
2011-09-18,15.0,1.0
2011-09-19,15.0,1.0
2011-09-20,27.0,1.0
2011-09-21,13.0,1.0
2011-09-22,0.0,1.0
2011-09-23,29.0,1.0
2011-09-24,0.0,1.0
2011-09-25,0.0,1.0
2011-09-26,25.0,1.0
2011-09-27,12.0,1.0
2011-09-28,15.0,1.0
2011-09-29,0.0,1.0
2011-09-30,15.0,1.0
2011-10-01,18.0,1.0
2011-10-02,0.0,1.0
2011-10-03,15.0,1.0
2011-10-04,41.0,1.0
2011-10-05,25.0,1.0
2011-10-06,0.0,1.0
2011-10-07,0.0,1.0
2011-10-08,30.0,1.0
2011-10-09,0.0,1.0
2011-10-10,15.0,1.0
2011-10-11,37.0,1.0
2011-10-12,14.0,1.0
2011-10-13,27.0,1.0
2011-10-14,28.0,1.0
2011-10-15,15.0,1.0
2011-10-16,0.0,1.0
2011-10-17,26.0,1.0
2011-10-18,0.0,1.0
2011-10-19,38.0,1.0
2011-10-20,12.0,1.0
2011-10-21,43.0,1.0
2011-10-22,33.0,1.0
