date,MARUTI,overlap
2011-04-07,36.0,1.0
2011-04-08,34.0,1.0
2011-04-09,36.0,1.0
2011-04-10,29.0,1.0
2011-04-11,31.0,1.0
2011-04-12,33.0,1.0
2011-04-13,30.0,1.0
2011-04-14,32.0,1.0
2011-04-15,32.0,1.0
2011-04-16,34.0,1.0
2011-04-17,27.0,1.0
2011-04-18,31.0,1.0
2011-04-19,32.0,1.0
2011-04-20,31.0,1.0
2011-04-21,35.0,1.0
2011-04-22,35.0,1.0
2011-04-23,37.0,1.0
2011-04-24,31.0,1.0
2011-04-25,37.0,1.0
2011-04-26,31.0,1.0
2011-04-27,28.0,1.0
2011-04-28,32.0,1.0
2011-04-29,30.0,1.0
2011-04-30,36.0,1.0
2011-05-01,27.0,1.0
2011-05-02,30.0,1.0
2011-05-03,33.0,1.0
2011-05-04,31.0,1.0
2011-05-05,33.0,1.0
2011-05-06,31.0,1.0
2011-05-07,29.0,1.0
2011-05-08,26.0,1.0
2011-05-09,34.0,1.0
2011-05-10,30.0,1.0
2011-05-11,31.0,1.0
2011-05-12,31.0,1.0
2011-05-13,27.0,1.0
2011-05-14,37.0,1.0
2011-05-15,26.0,1.0
2011-05-16,33.0,1.0
2011-05-17,31.0,1.0
2011-05-18,32.0,1.0
2011-05-19,34.0,1.0
2011-05-20,30.0,1.0
2011-05-21,42.0,1.0
2011-05-22,31.0,1.0
2011-05-23,34.0,1.0
2011-05-24,34.0,1.0
2011-05-25,31.0,1.0
2011-05-26,29.0,1.0
2011-05-27,32.0,1.0
2011-05-28,34.0,1.0
2011-05-29,31.0,1.0
2011-05-30,36.0,1.0
2011-05-31,34.0,1.0
2011-06-01,36.0,1.0
2011-06-02,30.0,1.0
2011-06-03,32.0,1.0
2011-06-04,35.0,1.0
2011-06-05,32.0,1.0
2011-06-06,33.0,1.0
2011-06-07,33.0,1.0
2011-06-08,36.0,1.0
2011-06-09,35.0,1.0
2011-06-10,31.0,1.0
2011-06-11,38.0,1.0
2011-06-12,31.0,1.0
2011-06-13,37.0,1.0
2011-06-14,39.0,1.0
2011-06-15,36.0,1.0
2011-06-16,38.0,1.0
2011-06-17,41.0,1.0
2011-06-18,40.0,1.0
2011-06-19,32.0,1.0
2011-06-20,38.0,1.0
2011-06-21,35.0,1.0
2011-06-22,38.0,1.0
2011-06-23,39.0,1.0
2011-06-24,35.0,
2011-06-25,35.0,
2011-06-26,39.0,
2011-06-27,39.0,
2011-06-28,41.0,
2011-06-29,37.0,
2011-06-30,38.0,
2011-07-01,35.0,
2011-07-02,37.0,
2011-07-03,38.0,
2011-07-04,39.0,
2011-07-05,35.0,
2011-07-06,39.0,
2011-07-07,36.0,
2011-07-08,49.0,
2011-07-09,43.0,
2011-07-10,47.0,
2011-07-11,52.0,
2011-07-12,42.0,
2011-07-13,47.0,
2011-07-14,40.0,
2011-07-15,49.0,
2011-07-16,53.0,
2011-07-17,35.0,
2011-07-18,50.0,
2011-07-19,44.0,
2011-07-20,47.0,
2011-07-21,47.0,
2011-07-22,45.0,
2011-07-23,48.0,
2011-07-24,39.0,
2011-07-25,42.0,
2011-07-26,44.0,
2011-07-27,49.0,
2011-07-28,40.0,
2011-07-29,42.0,
2011-07-30,44.0,
2011-07-31,41.0,
2011-08-01,41.0,
2011-08-02,45.0,
2011-08-03,40.0,
2011-08-04,40.0,
2011-08-05,42.0,
2011-08-06,46.0,
2011-08-07,41.0,
2011-08-08,48.0,
2011-08-09,43.0,
2011-08-10,42.0,
2011-08-11,47.0,
2011-08-12,36.0,
2011-08-13,40.0,
2011-08-14,44.0,
2011-08-15,37.0,
2011-08-16,49.0,
2011-08-17,100.0,
2011-08-18,80.0,
2011-08-19,62.0,
2011-08-20,68.0,
2011-08-21,56.0,
2011-08-22,48.0,
2011-08-23,45.0,
2011-08-24,37.0,
2011-08-25,38.0,
2011-08-26,38.0,
2011-08-27,45.0,
2011-08-28,42.0,
2011-08-29,44.0,
2011-08-30,47.0,
2011-08-31,36.0,1.0
2011-09-01,36.0,1.0
2011-09-02,38.0,1.0
2011-09-03,43.0,1.0
2011-09-04,37.0,1.0
2011-09-05,38.0,1.0
2011-09-06,37.0,1.0
2011-09-07,35.0,1.0
2011-09-08,40.0,1.0
2011-09-09,35.0,1.0
2011-09-10,39.0,1.0
2011-09-11,32.0,1.0
2011-09-12,39.0,1.0
2011-09-13,36.0,1.0
2011-09-14,36.0,1.0
2011-09-15,39.0,1.0
2011-09-16,38.0,1.0
2011-09-17,43.0,1.0
2011-09-18,32.0,1.0
2011-09-19,34.0,1.0
2011-09-20,34.0,1.0
2011-09-21,33.0,1.0
2011-09-22,38.0,1.0
2011-09-23,33.0,1.0
2011-09-24,38.0,1.0
2011-09-25,39.0,1.0
2011-09-26,36.0,1.0
2011-09-27,35.0,1.0
2011-09-28,36.0,1.0
2011-09-29,34.0,1.0
2011-09-30,37.0,1.0
2011-10-01,41.0,1.0
2011-10-02,33.0,1.0
2011-10-03,33.0,1.0
2011-10-04,33.0,1.0
2011-10-05,33.0,1.0
2011-10-06,26.0,1.0
2011-10-07,37.0,1.0
2011-10-08,35.0,1.0
2011-10-09,31.0,1.0
2011-10-10,36.0,1.0
2011-10-11,29.0,1.0
2011-10-12,34.0,1.0
2011-10-13,42.0,1.0
2011-10-14,39.0,1.0
2011-10-15,42.0,1.0
2011-10-16,34.0,1.0
2011-10-17,39.0,1.0
2011-10-18,38.0,1.0
2011-10-19,37.0,1.0
2011-10-20,36.0,1.0
2011-10-21,40.0,1.0
2011-10-22,38.0,1.0
2011-10-23,27.0,1.0
2011-10-24,29.0,1.0
2011-10-25,25.0,1.0
2011-10-26,20.0,1.0
2011-10-27,26.0,1.0
2011-10-28,31.0,1.0
2011-10-29,36.0,1.0
2011-10-30,29.0,1.0
2011-10-31,37.0,1.0
