date,LT,overlap
2012-09-20,48.0,1.0
2012-09-21,40.0,1.0
2012-09-22,39.0,1.0
2012-09-23,38.0,1.0
2012-09-24,44.0,1.0
2012-09-25,42.0,1.0
2012-09-26,44.0,1.0
2012-09-27,44.0,1.0
2012-09-28,44.0,1.0
2012-09-29,37.0,1.0
2012-09-30,41.0,1.0
2012-10-01,48.0,1.0
2012-10-02,44.0,1.0
2012-10-03,45.0,1.0
2012-10-04,43.0,1.0
2012-10-05,44.0,1.0
2012-10-06,40.0,1.0
2012-10-07,38.0,1.0
2012-10-08,42.0,1.0
2012-10-09,43.0,1.0
2012-10-10,41.0,1.0
2012-10-11,45.0,1.0
